# TIME FLUX FLUX_ERR PHASE ECL_MASK
1.468303301186597309e+03 9.367286562919616699e-01 5.558647098951041698e-04 3.620972178799419794e-04 1.000000000000000000e+00
1.468324134613233809e+03 9.369884133338928223e-01 5.561030702665448189e-04 1.788205889710958729e-03 1.000000000000000000e+00
1.468344968039695004e+03 9.401637911796569824e-01 5.569434142671525478e-04 3.214314549540908672e-03 1.000000000000000000e+00
1.468365801465923823e+03 9.456838369369506836e-01 5.584164755418896675e-04 4.640423193464471296e-03 1.000000000000000000e+00
1.468407468317683424e+03 9.931578040122985840e-01 5.677208537235856056e-04 7.492640433529373922e-03 1.000000000000000000e+00
1.468428301743214433e+03 1.000477433204650879e+00 5.687004304490983486e-04 8.918749029685812957e-03 1.000000000000000000e+00
1.468449135168511248e+03 9.994235634803771973e-01 5.681361653842031956e-04 1.034485760981063152e-02 1.000000000000000000e+00
1.468469968593633666e+03 9.988104701042175293e-01 5.679411697201430798e-04 1.177096617799833211e-02 0.000000000000000000e+00
1.468490802018524619e+03 9.985139966011047363e-01 5.677938461303710938e-04 1.319707473034092970e-02 0.000000000000000000e+00
1.468511635443182740e+03 9.982503652572631836e-01 5.679836031049489975e-04 1.462318326674516555e-02 0.000000000000000000e+00
1.468532468867606667e+03 9.992095828056335449e-01 5.685095093213021755e-04 1.604929178711866911e-02 0.000000000000000000e+00
1.468553302291797536e+03 9.998890757560729980e-01 5.680710310116410255e-04 1.747540029153871188e-02 0.000000000000000000e+00
1.468574135715815146e+03 9.990829229354858398e-01 5.679386085830628872e-04 1.890150878409890822e-02 0.000000000000000000e+00
1.468594969139541263e+03 9.999316930770874023e-01 5.684397183358669281e-04 2.032761725670440001e-02 0.000000000000000000e+00
1.468615802563092757e+03 9.986397624015808105e-01 5.682758637703955173e-04 2.175372571735767480e-02 0.000000000000000000e+00
1.468636635986411193e+03 1.000212430953979492e+00 5.680980975739657879e-04 2.317983416205748881e-02 0.000000000000000000e+00
1.468657469409496343e+03 9.989601969718933105e-01 5.678787128999829292e-04 2.460594259078696666e-02 0.000000000000000000e+00
1.468678302832349345e+03 9.990846514701843262e-01 5.680378526449203491e-04 2.603205100362604441e-02 0.000000000000000000e+00
1.468699136254969972e+03 9.990684390068054199e-01 5.679939640685915947e-04 2.745815940055873483e-02 0.000000000000000000e+00
1.468719969677415520e+03 9.984244108200073242e-01 5.676721921190619469e-04 2.888426778550634566e-02 0.000000000000000000e+00
1.468740803099569348e+03 9.991413950920104980e-01 5.683558410964906216e-04 3.031037615048504108e-02 0.000000000000000000e+00
