model_idx,depth,duration,n_injections,n_recoveries,recovery_rate
0,0.001,0.1,5,2,0.4
1,0.001,0.25,5,3,0.6
2,0.001,0.4,5,2,0.4
3,0.001,0.5499999999999999,5,1,0.2
4,0.001,0.7,5,0,0.0
5,0.001,0.85,5,0,0.0
6,0.001,1.0,5,0,0.0
7,0.0014677992676220691,0.1,5,3,0.6
8,0.0014677992676220691,0.25,5,4,0.8
9,0.0014677992676220691,0.4,5,4,0.8
10,0.0014677992676220691,0.5499999999999999,5,2,0.4
11,0.0014677992676220691,0.7,5,0,0.0
12,0.0014677992676220691,0.85,5,1,0.2
13,0.0014677992676220691,1.0,5,0,0.0
14,0.0021544346900318843,0.1,5,5,1.0
15,0.0021544346900318843,0.25,5,5,1.0
16,0.0021544346900318843,0.4,5,4,0.8
17,0.0021544346900318843,0.5499999999999999,5,3,0.6
18,0.0021544346900318843,0.7,5,3,0.6
19,0.0021544346900318843,0.85,5,2,0.4
20,0.0021544346900318843,1.0,5,2,0.4
21,0.0031622776601683794,0.1,5,5,1.0
22,0.0031622776601683794,0.25,5,5,1.0
23,0.0031622776601683794,0.4,5,5,1.0
24,0.0031622776601683794,0.5499999999999999,5,4,0.8
25,0.0031622776601683794,0.7,5,4,0.8
26,0.0031622776601683794,0.85,5,2,0.4
27,0.0031622776601683794,1.0,5,1,0.2
28,0.004641588833612777,0.1,5,5,1.0
29,0.004641588833612777,0.25,5,5,1.0
30,0.004641588833612777,0.4,5,5,1.0
31,0.004641588833612777,0.5499999999999999,5,5,1.0
32,0.004641588833612777,0.7,5,4,0.8
33,0.004641588833612777,0.85,5,1,0.2
34,0.004641588833612777,1.0,5,3,0.6
35,0.006812920690579608,0.1,5,5,1.0
36,0.006812920690579608,0.25,5,5,1.0
37,0.006812920690579608,0.4,5,5,1.0
38,0.006812920690579608,0.5499999999999999,5,5,1.0
39,0.006812920690579608,0.7,5,4,0.8
40,0.006812920690579608,0.85,5,2,0.4
41,0.006812920690579608,1.0,5,2,0.4
42,0.01,0.1,5,5,1.0
43,0.01,0.25,5,5,1.0
44,0.01,0.4,5,5,1.0
45,0.01,0.5499999999999999,5,5,1.0
46,0.01,0.7,5,4,0.8
47,0.01,0.85,5,4,0.8
48,0.01,1.0,5,3,0.6
